Name,place_id,state_id,Total Population,Median Household Income,Per capita income,Under 5yo %,Under 18yo %,Over 65yo %,Female %,White %,Black or African American %,American Indian and Alaska Native %,Asian %,Native Hawaiian and Other Pacific Islander %,Two or more races %,Hispanic or Latino %,"White alone, not Hispanic or Latino %",Foreign born %,Total Housing Units,Owner-occupied Housing Units,Median value of owner-occupied housing units,Median selected monthly owner costs - with mortgage,Median selected monthly owner costs - without mortgage,Median gross rent,Total households,Persons per household,Living in the same house 1 year ago %,Language other than English spoken at home %,Households with computer %,Households with internet %,High school graduate or higher %,Bachelor's degree or higher %,18-64yo with disability %,Without health insurance %,In labor force over 16yo %,In labor force females over 16yo %,Mean travel time to work (minutes),People in poverty %
"Abingdon city, Illinois",00113,17,3586,44042,22466,7.1,27.4,608,47.7,97.7,2.5,0.0,0.0,0.0,0.8,5.4,92.1,0.0,1609,1038,76800,860,390,642,1481,2.39,95.5,0.5,87.4,84.7,86.4,14.2,12.8,6.1,64.8,68.2,39.1,21.4
"Addison village, Illinois",00243,17,35999,75960,32779,5.0,22.1,5654,50.5,70.2,5.6,1.9,9.4,0.4,8.6,41.6,44.2,32.4,13059,8239,271500,1948,832,1129,12720,2.82,90.8,55.6,91.8,85.4,79.7,23.8,6.8,9.0,69.4,63.1,25.4,11.6
"Albany village, Illinois",00516,17,771,64205,32050,8.3,25.3,185,51.8,97.8,1.3,1.3,1.2,0.0,2.5,4.2,92.9,1.3,374,298,123700,1478,521,669,333,2.32,83.7,2.7,89.8,88.3,93.3,17.8,5.1,6.9,57.7,50.5,22.0,5.7
"Albers village, Illinois",00555,17,1431,103554,39918,5.4,25.0,282,49.3,99.4,2.2,0.2,0.7,0.0,2.7,0.1,96.9,0.7,550,456,176500,1589,629,977,533,2.68,93.7,1.6,92.3,88.7,95.5,27.0,11.5,2.5,73.5,68.9,29.7,7.2
"Albion city, Illinois",00568,17,2122,48603,23295,7.1,28.1,328,52.7,97.4,0.0,2.4,0.9,0.5,1.6,3.0,95.3,1.6,923,579,83200,840,324,700,863,2.43,82.2,3.8,87.1,82.3,90.3,14.1,14.9,5.4,61.6,56.6,20.0,21.3
"Aledo city, Illinois",00646,17,3860,53277,29057,5.1,19.1,898,51.0,97.0,2.4,0.2,1.3,0.0,1.5,2.1,94.1,2.1,1815,941,118100,1031,481,702,1595,2.29,89.1,3.9,88.5,85.2,93.5,22.1,9.7,5.0,63.5,58.7,23.8,9.5
"Alexis village, Illinois",00672,17,735,54792,27684,8.0,28.8,130,48.2,100.0,3.9,1.1,0.0,0.4,5.7,5.3,89.3,3.3,348,282,77400,863,344,493,308,2.39,80.4,3.3,87.0,83.8,95.8,17.5,8.7,10.8,71.7,63.4,26.2,5.3
"Algonquin village, Illinois",00685,17,29869,115346,49226,4.7,21.8,3898,49.5,87.4,3.1,1.0,9.0,0.0,4.1,10.2,77.3,12.3,11305,9376,273600,2201,898,1725,11018,2.71,91.1,19.2,96.6,93.7,94.9,44.2,5.5,4.1,74.9,70.4,32.2,4.8
"Alhambra village, Illinois",00737,17,627,46477,24676,4.8,17.7,195,49.1,97.4,0.0,2.9,0.0,0.0,0.3,2.1,97.1,2.4,276,156,125000,1188,471,664,253,2.09,88.6,3.9,85.0,72.7,80.0,16.9,8.8,7.2,49.8,44.5,29.6,7.0
"Allenville village, Illinois",00867,17,111,55179,22158,1.8,27.0,26,41.4,100.0,0.0,0.0,0.0,0.0,0.0,18.9,81.1,0.0,71,41,95000,1047,450,763,49,2.27,97.3,4.6,93.9,77.6,96.1,13.2,29.1,5.4,70.4,68.3,21.8,4.5
"Allerton village, Illinois",00880,17,226,62857,27407,6.6,19.9,34,58.8,90.7,8.4,0.9,3.5,0.0,3.5,0.0,87.2,1.3,107,81,87500,950,433,558,90,2.51,95.5,0.0,96.7,94.4,93.3,15.3,8.8,8.0,61.5,53.8,31.4,11.5
"Alma village, Illinois",00919,17,304,44375,24059,8.9,25.0,53,52.6,100.0,0.0,1.6,0.0,0.0,1.6,0.0,98.4,0.0,175,98,43000,847,300,331,138,2.20,88.3,0.4,96.4,93.5,90.9,6.6,23.4,4.6,57.1,53.5,17.7,14.8
"Alorton village, Illinois",00958,17,1864,19605,13541,15.2,42.7,214,55.6,2.2,97.4,0.0,0.0,0.4,0.9,0.5,1.8,0.0,753,244,44600,1063,298,681,582,3.19,93.6,0.5,72.9,67.7,77.3,5.3,25.3,6.7,56.4,61.7,28.1,58.6
"Alpha village, Illinois",00971,17,731,63611,28054,11.5,31.5,129,41.5,97.8,1.1,0.4,0.0,0.0,16.6,11.4,80.0,0.3,295,216,87800,925,413,788,268,2.73,85.3,2.2,90.7,86.2,93.0,22.6,7.5,5.7,67.8,56.8,24.5,7.3
"Alsey village, Illinois",00997,17,172,44583,23076,8.7,25.6,27,53.5,96.5,3.5,0.0,0.0,0.0,0.0,0.0,96.5,0.0,89,60,45000,760,300,717,77,2.23,95.9,0.0,72.7,66.2,87.4,12.6,18.8,2.3,55.3,58.3,23.5,14.5
"Alsip village, Illinois",01010,17,19036,59123,30699,5.6,24.4,3336,51.5,66.1,25.9,1.4,2.5,0.0,6.6,24.6,47.1,9.4,7997,4720,172000,1548,692,990,7629,2.49,93.7,20.5,90.2,81.9,88.9,20.8,8.3,9.0,66.7,63.0,32.2,8.2
"Altamont city, Illinois",01049,17,2327,55972,29775,4.3,20.8,611,50.4,99.8,0.0,0.2,0.0,0.0,0.2,0.0,99.6,0.0,1047,747,92500,959,480,810,1041,2.16,92.3,0.3,88.6,83.1,90.6,14.9,16.4,8.0,60.0,54.6,23.2,11.2
"Alton city, Illinois",01114,17,25902,45225,25810,5.5,24.2,4236,52.2,73.3,29.3,0.6,1.2,0.0,5.1,1.9,67.1,1.8,12836,6550,82000,974,438,824,11097,2.29,84.1,3.2,89.7,84.5,88.7,19.4,20.3,7.4,61.6,60.1,24.1,24.4
"Altona village, Illinois",01140,17,602,66944,31349,6.1,23.4,93,48.0,94.9,5.1,0.0,0.0,0.0,0.5,0.0,94.4,0.5,264,190,80000,1000,427,673,212,2.84,97.8,0.4,92.0,87.7,93.0,15.4,7.9,3.8,71.9,65.0,22.4,9.8
"Alto Pass village, Illinois",01205,17,369,54167,26706,3.8,20.3,66,51.8,97.6,0.0,2.7,0.0,0.0,4.3,19.5,77.8,13.0,163,113,92800,1083,489,638,122,3.02,93.2,20.8,73.0,62.3,87.7,35.6,9.2,5.1,56.9,48.4,29.7,7.6
"Amboy city, Illinois",01270,17,2450,66082,29709,4.2,21.1,458,49.7,98.4,1.3,0.5,1.8,2.2,3.9,5.2,91.7,1.6,1074,681,89600,1138,470,779,993,2.40,92.6,3.3,88.4,87.7,90.5,15.5,10.9,6.2,67.0,66.1,32.1,13.7
"Anchor village, Illinois",01361,17,247,62763,19560,6.5,39.3,40,51.0,92.7,17.8,1.6,0.0,0.0,19.0,0.0,80.6,0.0,88,72,85000,876,425,1050,80,3.09,87.6,1.7,91.3,77.5,93.8,7.6,9.1,1.6,66.4,64.9,24.3,18.2
"Andalusia village, Illinois",01426,17,1250,64792,35889,6.2,19.1,255,48.8,97.7,3.6,1.0,0.7,0.0,5.4,2.5,92.2,1.0,561,449,133900,1224,583,715,539,2.32,93.6,3.0,94.4,93.1,92.9,16.6,15.2,3.5,70.1,69.0,23.6,6.1
"Andover village, Illinois",01491,17,428,58295,28461,2.1,26.9,99,47.2,100.0,0.0,0.0,0.0,0.0,0.0,1.9,98.1,0.7,183,139,111100,1107,429,779,177,2.42,98.6,1.9,76.3,68.4,88.8,13.9,3.7,5.8,59.3,54.1,27.9,1.4
"Anna city, Illinois",01543,17,4262,35637,24239,6.3,21.0,1019,47.9,95.6,3.7,0.0,1.4,0.0,1.4,1.3,93.6,0.6,2192,1219,88000,995,420,656,1860,2.15,88.9,1.6,84.6,66.7,88.2,22.5,17.2,2.7,50.9,46.0,20.2,29.5
"Annawan town, Illinois",01569,17,878,52000,31758,7.2,24.7,148,48.7,94.1,1.8,0.9,2.2,0.9,1.1,5.4,89.7,2.7,406,286,113800,1170,463,710,386,2.27,89.6,2.2,90.2,83.4,92.8,25.3,5.3,4.1,69.4,61.6,25.8,10.7
"Antioch village, Illinois",01595,17,14705,100705,41641,4.1,26.0,1736,51.1,91.3,3.5,0.7,5.1,0.1,5.0,6.9,83.4,6.6,5670,4012,245100,2171,864,1056,5459,2.69,85.7,9.5,95.3,89.5,95.5,40.6,12.1,2.2,71.4,64.1,36.3,8.8
"Apple River village, Illinois",01673,17,342,42083,21601,11.7,33.3,53,52.9,97.4,0.9,0.0,1.2,0.0,0.0,5.0,92.4,2.3,172,106,72500,1139,535,689,137,2.50,76.5,3.3,92.0,80.3,93.2,16.0,14.9,2.1,63.4,55.8,28.8,18.7
"Arcola city, Illinois",01881,17,2774,67625,24928,7.3,29.1,391,53.5,88.0,5.2,2.7,1.0,1.2,15.6,42.7,53.2,11.8,982,638,105600,1117,468,738,896,2.98,86.1,37.8,90.1,85.4,83.9,19.8,6.5,10.2,72.9,69.2,15.1,10.1
"Arenzville village, Illinois",01946,17,389,85938,33682,6.9,32.6,64,47.8,91.8,0.0,0.0,0.0,0.5,0.0,7.7,91.8,3.1,164,135,99100,1092,455,825,145,2.68,94.2,5.5,92.4,86.2,94.4,30.6,10.7,5.4,65.8,62.1,25.5,3.3
"Argenta village, Illinois",01972,17,979,72619,29522,9.1,29.4,193,52.4,98.5,2.9,3.2,0.0,0.0,7.0,1.5,91.4,0.6,394,287,102200,1120,522,1000,346,2.83,87.7,0.8,89.9,85.8,91.7,18.1,6.9,2.2,66.2,64.7,22.7,7.7
"Arlington village, Illinois",02102,17,189,67917,27025,3.2,21.2,24,45.0,89.4,3.2,1.1,0.0,0.0,5.8,12.2,83.6,1.1,77,52,82500,1016,550,942,67,2.82,95.2,1.1,97.0,79.1,84.1,10.1,16.0,7.9,62.5,53.5,25.9,7.9
"Arlington Heights village, Illinois",02154,17,77283,106996,53880,6.5,23.2,14955,50.6,83.7,3.7,0.5,11.7,0.1,5.0,9.1,75.6,20.0,33057,23074,360900,2410,983,1507,31421,2.44,89.4,28.3,95.2,92.4,96.3,59.5,5.4,5.5,68.0,60.5,28.7,4.7
"Armington village, Illinois",02206,17,391,43125,19513,11.3,30.4,37,51.2,99.2,0.0,2.0,0.8,0.0,16.9,16.6,80.6,1.3,154,109,85400,1006,446,956,134,2.92,74.5,10.7,97.0,95.5,92.0,13.2,28.5,4.6,51.4,38.3,26.9,18.2
"Aroma Park village, Illinois",02258,17,620,52500,28612,4.8,15.2,129,49.5,98.7,4.2,1.3,0.6,0.0,5.2,5.5,88.4,1.3,302,195,126400,1263,561,872,268,2.29,90.1,4.9,94.4,84.3,89.9,13.8,12.3,8.7,61.4,58.1,21.0,13.8
"Arrowsmith village, Illinois",02342,17,412,73750,18941,3.4,32.5,73,52.2,90.5,10.7,1.0,0.0,0.0,2.2,3.9,84.5,0.0,140,114,88600,953,573,900,130,3.17,93.7,0.3,88.5,73.1,97.9,20.4,6.3,2.2,53.1,54.4,29.3,44.4
"Arthur village, Illinois",02414,17,2006,50789,30985,7.2,20.1,636,55.8,98.4,0.6,1.3,0.2,0.0,2.0,1.9,95.7,2.3,975,727,116900,1197,493,830,940,2.09,90.1,8.5,87.9,77.3,82.0,19.5,12.3,9.8,56.4,45.9,14.6,11.6
"Ashkum village, Illinois",02479,17,820,73594,32882,7.8,21.6,142,50.9,100.0,1.0,2.2,0.1,0.1,4.4,0.6,95.6,0.0,371,247,131400,1081,472,950,329,2.49,94.4,0.7,89.1,86.0,87.7,9.3,13.2,7.9,68.4,63.0,21.1,7.6
"Ashland village, Illinois",02505,17,1216,63571,34361,5.4,20.6,193,55.7,97.2,2.4,1.0,1.1,0.0,1.6,0.0,95.6,0.0,592,405,106300,1058,502,814,488,2.49,94.0,0.0,87.1,83.8,93.0,22.4,9.7,6.2,67.3,65.0,26.3,7.1
"Ashley city, Illinois",02531,17,455,41250,21764,8.8,33.8,94,53.4,100.0,0.0,1.1,0.0,0.0,1.1,0.0,98.9,0.0,226,137,52700,1014,347,614,196,2.32,78.7,0.0,74.5,70.9,87.9,5.9,14.0,5.1,59.8,55.6,25.7,18.0
"Ashmore village, Illinois",02557,17,790,50417,24443,3.4,22.3,98,48.9,96.8,3.8,0.0,0.0,0.0,0.6,0.0,96.2,0.0,400,272,78000,837,401,665,335,2.36,89.3,0.0,94.0,86.3,91.8,14.4,11.8,2.9,68.5,69.3,21.2,21.6
"Ashton village, Illinois",02583,17,795,53819,27531,2.6,16.5,141,46.3,95.7,2.8,0.3,1.1,0.0,4.7,4.9,90.4,5.4,398,234,94400,987,417,718,357,2.17,97.4,7.6,90.8,79.6,89.3,8.9,22.9,4.9,66.8,54.6,23.4,15.1
"Assumption city, Illinois",02609,17,1178,48690,23610,5.2,21.9,221,52.3,99.1,2.7,1.6,0.0,0.3,3.7,2.5,94.8,0.7,575,346,68600,838,417,580,515,2.29,95.4,3.3,89.9,81.4,93.9,17.3,6.4,0.8,62.0,60.7,23.5,12.3
"Astoria town, Illinois",02635,17,983,42756,22641,9.7,26.7,132,51.8,98.0,0.0,0.1,0.0,0.0,0.1,0.2,97.9,0.2,546,321,54200,932,341,550,451,2.18,83.0,0.0,83.8,80.9,89.7,9.1,8.5,5.6,64.3,64.4,26.5,14.0
"Athens city, Illinois",02674,17,2303,81786,37259,7.4,28.4,209,57.3,94.5,6.6,0.8,0.7,0.0,3.1,1.9,89.5,1.5,997,684,142000,1301,545,542,904,2.55,88.3,0.2,95.2,91.8,97.5,23.4,14.0,2.0,74.9,71.8,25.0,6.1
"Atlanta city, Illinois",02752,17,2024,56513,28402,9.0,25.0,329,51.7,100.0,0.0,0.4,0.0,0.0,2.1,3.1,96.0,0.0,902,695,96300,1064,502,733,859,2.35,80.9,0.5,92.3,82.9,93.1,13.0,17.5,2.6,60.3,51.6,27.9,12.9
"Atwood village, Illinois",02882,17,1085,50139,25167,5.6,27.5,209,58.8,99.4,0.2,1.8,1.0,0.0,2.4,0.0,97.1,0.8,536,363,88300,1189,436,641,454,2.39,93.4,1.1,92.5,87.0,95.3,12.9,6.6,0.5,49.7,36.4,21.7,14.2
"Auburn city, Illinois",02921,17,4563,86367,35319,6.7,25.5,604,50.8,99.0,1.2,0.6,0.2,0.0,1.2,6.2,91.5,0.2,1726,1408,136300,1046,377,953,1630,2.76,94.4,1.5,96.3,84.6,96.2,27.7,9.3,3.9,65.7,60.9,32.5,4.1
"Augusta village, Illinois",02986,17,653,37000,22428,9.6,27.6,103,51.9,99.5,5.2,0.2,0.0,0.0,5.4,3.4,93.7,0.9,350,213,80900,748,335,550,286,2.28,86.3,0.8,89.2,78.0,90.6,20.0,16.8,3.7,61.5,60.1,20.3,19.3
"Aurora city, Illinois",03012,17,183447,79642,34805,6.6,27.8,18102,50.2,64.7,12.9,1.8,11.4,0.2,12.9,41.5,34.9,25.9,63936,40701,208500,1751,732,1359,61003,2.98,85.9,45.4,95.1,89.0,80.4,34.8,6.6,10.1,72.7,66.6,28.7,10.3
"Ava city, Illinois",03103,17,557,57813,24980,11.0,27.1,105,53.7,99.6,0.4,0.0,0.0,0.0,0.0,1.3,98.4,0.0,268,166,75700,850,459,732,211,2.64,95.4,2.2,90.5,83.9,91.6,4.8,16.6,5.2,57.0,43.6,23.8,15.6
"Aviston village, Illinois",03181,17,2417,84735,39805,8.2,26.9,352,51.4,99.0,0.2,0.0,1.0,0.1,2.3,5.9,92.8,0.3,879,711,170600,1462,606,833,853,2.73,91.3,1.6,96.2,93.4,97.3,31.1,6.7,0.8,68.8,65.3,25.9,2.2
"Avon village, Illinois",03207,17,647,36818,24739,4.0,23.0,113,44.2,99.7,1.4,0.0,0.0,0.0,1.1,0.0,98.6,0.0,397,243,47500,874,342,615,304,2.13,90.1,0.0,86.8,81.9,81.4,7.5,17.7,21.3,63.5,67.7,23.7,22.5
"Baldwin village, Illinois",03454,17,312,42500,19340,7.7,32.7,43,50.3,100.0,0.0,0.0,0.0,0.0,0.0,1.3,98.7,0.0,159,87,83800,1021,346,779,112,2.79,95.5,0.3,77.7,71.4,98.3,6.2,26.9,6.4,57.2,55.1,25.2,19.2
"Banner village, Illinois",03571,17,141,46000,36721,0.7,12.1,46,37.6,96.5,0.7,4.3,0.0,0.0,2.8,0.0,93.6,0.0,86,70,81100,888,413,625,78,1.81,93.6,0.7,83.3,73.1,90.0,6.7,10.3,7.8,57.5,62.5,30.2,12.8
"Bannockburn village, Illinois",03610,17,1315,147500,58600,3.4,12.1,191,42.7,73.8,12.9,0.0,10.6,1.2,3.1,11.3,64.6,22.2,243,183,987500,4001,1501,1075,218,2.76,76.6,23.9,100.0,89.9,99.7,85.6,1.5,2.5,56.6,53.9,21.7,2.5
"Barrington village, Illinois",03844,17,11174,126250,65617,4.9,29.6,2232,53.3,88.3,2.1,0.7,10.1,0.0,3.6,2.6,83.2,11.3,4370,3182,477500,3099,1210,1531,4178,2.63,90.3,13.9,96.0,92.6,97.2,70.8,2.1,2.5,59.8,52.2,32.4,5.1
"Barrington Hills village, Illinois",03883,17,4236,185446,100927,3.7,22.3,1011,52.5,89.0,0.7,0.0,10.1,0.0,0.4,0.8,88.4,18.4,1697,1293,735800,4001,1501,2697,1425,2.96,88.5,23.7,97.4,95.7,97.9,71.4,5.9,2.3,55.6,41.4,42.0,6.8
"Barry city, Illinois",03948,17,1549,55625,22732,9.0,31.4,227,56.8,99.5,0.9,0.5,0.6,0.0,1.5,0.8,97.9,1.5,615,378,77700,874,461,506,535,2.79,84.5,1.3,85.0,76.6,94.7,9.5,23.5,9.9,66.7,61.0,27.6,16.4
"Bartelso village, Illinois",04000,17,784,85682,44296,6.0,22.2,130,52.4,100.0,0.0,0.0,0.0,0.0,0.0,0.1,99.9,0.3,342,322,166800,1625,551,488,342,2.29,98.3,5.8,86.0,86.0,92.7,28.0,6.9,0.0,71.2,62.9,34.9,3.8
"Bartlett village, Illinois",04013,17,41126,114121,44559,5.7,22.9,6036,50.0,73.6,3.6,1.8,18.6,0.1,4.8,14.4,63.3,19.5,14353,11767,292100,2274,942,1779,13978,2.94,92.0,29.1,94.7,92.2,93.3,44.7,4.9,5.9,69.4,64.2,32.6,3.6
"Bartonville village, Illinois",04039,17,6005,60218,30499,4.3,24.8,891,46.3,97.4,3.3,0.2,1.6,0.0,3.7,2.1,93.2,0.6,2749,2100,110400,1019,543,817,2454,2.45,95.7,0.9,93.7,90.5,93.0,21.5,7.0,9.1,68.6,67.1,19.1,7.0
"Batavia city, Illinois",04078,17,26261,109146,50976,8.0,26.5,4060,50.7,92.3,3.2,0.7,2.4,0.0,4.1,8.8,83.0,5.1,10180,7690,316800,2238,959,1169,9836,2.66,89.8,9.2,95.0,91.1,96.3,55.2,4.9,3.0,71.9,65.1,29.0,4.8
"Bath village, Illinois",04156,17,267,44750,26539,4.9,12.7,62,59.6,98.1,0.0,1.1,1.9,1.9,3.0,0.0,97.0,1.9,145,94,55400,734,321,638,123,2.17,86.9,0.0,91.9,87.8,87.9,4.2,17.0,2.6,53.3,44.9,25.1,7.1
"Baylis village, Illinois",04247,17,120,79250,27960,9.2,31.7,16,45.8,100.0,7.5,0.0,0.0,0.0,7.5,0.0,92.5,0.0,84,35,61300,694,420,500,41,2.93,93.3,0.0,82.9,73.2,79.7,2.5,9.1,5.0,67.9,64.6,33.7,3.3
"Bay View Gardens village, Illinois",04273,17,383,37292,18851,3.9,22.5,56,48.0,99.7,0.0,0.5,0.0,0.0,0.3,0.0,99.5,3.4,169,116,119000,1131,365,690,161,2.38,91.9,1.1,80.7,72.0,80.3,7.2,11.6,8.9,54.3,49.1,24.9,21.4
"Beach Park village, Illinois",04303,17,13634,75968,28341,6.2,28.6,1815,47.9,68.1,13.7,1.3,3.2,0.0,7.9,41.2,41.7,15.5,4723,3944,173700,1656,722,996,4535,3.00,92.4,38.3,96.0,92.0,85.5,15.0,12.1,7.4,67.7,63.1,26.8,7.9
"Beardstown city, Illinois",04351,17,5839,49643,21679,7.2,27.8,641,50.2,81.6,8.6,1.4,1.7,1.5,10.0,38.6,50.3,23.4,2397,1472,71100,1000,444,636,2090,2.74,83.2,36.7,86.2,79.6,76.9,13.8,12.6,6.3,62.8,55.3,16.3,18.8
"Beaverville village, Illinois",04507,17,336,50000,23261,8.0,19.0,82,50.9,99.4,0.0,0.6,0.0,0.0,3.9,5.1,94.3,0.6,153,113,84000,919,340,600,142,2.37,88.3,0.3,92.3,82.4,92.8,5.6,11.6,2.1,55.2,44.1,29.2,19.0
"Beckemeyer village, Illinois",04533,17,960,54539,24959,5.2,18.6,223,48.2,96.4,0.6,2.5,3.3,0.0,2.9,4.3,91.7,0.5,426,325,87400,1083,386,870,395,2.43,90.6,0.7,82.5,78.2,86.5,12.0,20.3,6.7,51.6,57.4,18.6,10.1
"Bedford Park village, Illinois",04572,17,674,91964,37880,9.3,28.2,92,42.3,89.6,5.8,1.2,0.0,0.0,4.9,39.8,51.9,10.1,224,186,212700,1784,813,1406,219,3.08,91.8,25.4,96.8,57.1,92.7,33.6,11.0,5.2,65.0,62.4,30.2,4.2
"Beecher village, Illinois",04585,17,4568,89543,34912,4.5,24.5,646,49.8,95.4,1.5,0.2,0.9,0.0,2.9,13.0,85.0,0.7,1869,1320,193700,1826,843,926,1719,2.59,89.1,7.6,96.5,82.6,93.3,20.4,8.4,1.8,61.7,49.2,30.7,1.8
"Beecher City village, Illinois",04598,17,351,43750,25787,7.1,22.5,51,46.7,100.0,0.0,0.9,0.0,0.0,0.9,0.6,98.6,0.0,193,124,69300,758,296,607,166,2.11,84.9,1.2,73.5,71.1,87.6,11.2,10.4,12.8,63.7,59.0,20.1,16.8
"Belgium village, Illinois",04689,17,338,44625,23774,7.4,21.9,46,54.1,99.7,0.0,0.3,0.3,0.0,1.2,0.9,97.6,0.3,164,104,70500,825,361,757,147,2.30,94.0,1.3,91.8,80.3,87.7,7.8,12.4,5.9,59.9,54.1,20.5,14.8
"Belle Rive village, Illinois",04806,17,349,47841,29526,4.9,16.6,74,45.0,100.0,0.0,0.9,0.0,0.0,11.5,11.7,87.4,0.6,183,131,71300,888,418,438,179,1.95,93.4,1.8,93.9,88.8,91.1,12.0,12.4,2.6,59.3,58.3,18.0,8.0
"Belleville city, Illinois",04845,17,42463,56404,29470,6.5,24.0,5966,52.3,64.9,36.5,1.1,1.6,0.3,6.7,3.5,58.4,2.0,20411,10639,105700,1295,533,853,17589,2.34,85.0,3.5,91.5,84.6,94.7,26.6,12.0,6.7,67.3,66.3,25.9,14.7
"Bellevue village, Illinois",04871,17,2432,54167,28308,3.1,23.3,300,52.9,96.8,3.1,0.8,0.3,0.0,2.2,0.7,94.7,0.3,1011,696,102600,1219,625,801,936,2.60,93.3,0.3,92.0,81.8,88.6,10.2,14.4,5.0,57.8,48.6,23.4,12.7
"Bellflower village, Illinois",04897,17,374,74286,33533,4.5,22.7,63,50.5,97.1,0.0,0.5,0.0,0.0,0.0,0.0,97.1,0.3,156,134,94000,1005,388,640,146,2.56,91.4,0.8,92.5,84.9,94.9,14.1,15.9,4.3,66.1,66.2,27.7,4.0
"Bellmont village, Illinois",04936,17,268,43750,24624,2.6,31.3,55,63.8,97.0,0.0,0.0,0.0,0.0,0.0,3.0,97.0,0.0,119,74,45700,783,300,744,105,2.55,83.6,5.0,94.3,86.7,95.3,2.9,34.1,0.0,45.3,38.3,39.7,28.7
"Bellwood village, Illinois",04975,17,18778,66517,26234,7.2,24.1,2825,53.7,14.7,72.9,0.4,1.2,0.0,5.1,22.9,3.5,10.7,6434,4510,174500,1638,694,1055,6049,3.09,91.8,20.6,90.6,84.5,83.9,15.8,8.6,8.5,64.0,62.8,28.5,10.2
"Belvidere city, Illinois",05092,17,25179,57507,26325,5.9,23.9,4007,52.3,81.7,2.5,0.8,1.3,0.0,5.0,36.4,60.1,13.9,9712,6757,120900,1261,575,895,9193,2.71,92.5,30.1,92.9,85.6,79.0,14.7,14.3,9.3,68.1,62.8,24.1,14.4
"Bement village, Illinois",05144,17,1548,60139,29105,5.0,19.4,253,52.1,97.9,2.3,0.4,0.0,0.0,0.8,1.4,96.0,0.6,694,507,88200,1097,469,740,626,2.41,88.4,2.7,92.2,88.7,94.6,12.9,8.9,10.9,70.2,67.8,25.0,7.4
"Benld city, Illinois",05209,17,1655,42961,22588,3.6,23.0,330,46.3,97.5,0.2,1.9,0.2,0.0,0.2,0.5,97.1,2.5,888,448,74200,808,390,730,635,2.61,86.5,2.5,84.6,77.3,89.7,11.0,15.7,7.0,54.4,52.9,27.9,23.0
"Bensenville village, Illinois",05248,17,18801,68532,29813,7.1,25.1,2260,49.0,70.2,6.6,1.1,4.5,0.3,9.8,48.3,41.1,28.4,7131,3508,227000,1836,768,1206,6880,2.69,90.7,51.5,90.6,86.4,81.7,22.7,6.9,12.5,73.2,66.5,27.3,8.9
"Benson village, Illinois",05261,17,381,66250,33178,1.8,21.8,65,53.5,98.7,1.3,0.0,0.0,0.0,0.0,0.0,98.7,1.0,174,149,95500,1098,504,900,155,2.46,97.4,3.5,81.9,79.4,95.5,14.6,6.0,6.3,69.1,65.1,24.5,5.3
"Benton city, Illinois",05300,17,7101,46530,26894,7.0,23.9,1459,52.1,98.1,1.3,0.3,1.2,0.0,4.6,4.4,92.2,0.6,3476,1853,76500,913,428,660,2941,2.31,74.9,1.6,89.3,79.3,87.2,22.3,18.0,5.5,53.1,48.6,22.9,18.0
"Berkeley village, Illinois",05404,17,5314,73812,30761,7.3,21.4,832,50.0,49.8,26.5,2.3,3.3,0.0,12.1,42.5,25.6,15.0,2005,1782,185200,1677,642,985,1920,2.76,94.7,40.6,93.3,86.6,83.4,19.5,7.8,2.9,65.2,60.3,28.4,5.6
"Berlin village, Illinois",05443,17,135,61563,36449,2.2,5.2,19,48.1,100.0,0.0,0.0,0.0,0.0,0.0,3.7,96.3,0.0,71,54,67100,913,477,613,70,1.93,95.5,0.0,65.7,47.1,80.0,14.4,16.5,3.7,72.3,82.0,24.3,2.2
"Berwyn city, Illinois",05573,17,56960,64965,28277,6.2,25.9,6813,48.7,51.9,9.6,1.3,4.0,0.0,11.5,61.5,26.2,25.5,21281,11407,244500,1920,764,1059,19525,2.91,90.3,55.4,93.7,88.8,83.0,24.2,6.9,10.6,68.7,62.2,30.9,11.6
"Bethalto village, Illinois",05599,17,9414,66193,33245,5.2,23.0,2008,52.9,98.2,2.0,1.0,0.6,0.0,2.1,1.8,94.6,0.4,4608,3126,139900,1250,615,797,3987,2.34,85.6,0.9,91.6,86.2,95.2,27.4,12.7,4.9,63.7,60.7,24.7,8.8
"Bethany village, Illinois",05612,17,1227,53750,32785,4.3,24.5,264,51.9,100.0,0.7,0.2,0.0,0.0,1.0,2.0,97.1,0.2,584,378,82400,851,411,831,554,2.21,90.5,0.3,87.5,83.8,92.0,15.3,6.3,4.1,62.7,56.9,24.1,12.5
"Biggsville village, Illinois",05898,17,391,88438,68338,7.9,19.4,79,47.6,100.0,1.0,0.0,0.0,0.0,1.0,0.0,99.0,0.0,186,160,71300,839,439,775,167,2.34,94.5,0.0,90.4,86.8,95.6,22.5,13.6,0.5,72.0,61.5,27.9,9.5
"Big Rock village, Illinois",05976,17,1208,112778,46575,6.2,24.7,224,49.8,98.4,0.0,1.9,1.2,0.6,4.9,3.4,91.6,1.3,456,379,255400,2012,783,1078,422,2.86,95.4,1.4,94.8,86.5,95.8,28.0,7.9,3.6,67.1,60.6,29.6,5.1
"Bismarck village, Illinois",06184,17,555,71250,25380,7.9,33.3,69,58.0,97.1,1.6,0.0,3.2,0.0,1.6,1.3,95.5,0.5,199,165,93200,1022,420,763,196,2.83,95.6,0.6,92.3,86.2,95.7,17.3,9.3,3.4,62.2,56.5,22.2,19.4
