Name,place_id,state_id,Total Population,Median Household Income,Per capita income,Under 5yo %,Under 18yo %,Over 65yo %,Female %,White %,Black or African American %,American Indian and Alaska Native %,Asian %,Native Hawaiian and Other Pacific Islander %,Two or more races %,Hispanic or Latino %,"White alone, not Hispanic or Latino %",Foreign born %,Total Housing Units,Owner-occupied Housing Units,Median value of owner-occupied housing units,Median selected monthly owner costs - with mortgage,Median selected monthly owner costs - without mortgage,Median gross rent,Total households,Persons per household,Living in the same house 1 year ago %,Language other than English spoken at home %,Households with computer %,Households with internet %,High school graduate or higher %,Bachelor's degree or higher %,18-64yo with disability %,Without health insurance %,In labor force over 16yo %,In labor force females over 16yo %,Mean travel time to work (minutes),People in poverty %
"Nason city, Illinois",51726,17,207,47917,24545,1.4,15.0,42,44.4,100.0,0.5,0.0,0.0,0.0,1.4,0.0,98.6,0.0,118,83,64200,850,346,669,99,2.09,91.2,0.0,81.8,75.8,86.6,2.5,19.4,5.8,51.3,47.6,27.1,23.8
"Nauvoo city, Illinois",51791,17,876,43000,22828,4.3,20.5,297,45.8,97.3,1.6,0.2,1.1,0.0,0.7,0.5,96.6,1.9,599,223,112900,880,585,625,302,2.75,75.5,2.5,86.4,81.1,96.9,25.7,7.8,6.8,38.7,38.7,26.8,36.1
"Nelson village, Illinois",51947,17,134,34167,23834,3.7,17.9,19,66.4,100.0,0.0,0.0,0.0,0.0,0.0,2.2,97.8,8.2,64,39,77500,1125,279,768,58,2.31,85.1,2.3,86.2,81.0,80.0,11.4,31.9,6.0,44.3,37.7,21.6,25.4
"Neoga city, Illinois",51986,17,1352,53750,24800,6.2,25.4,340,55.6,100.0,1.1,0.0,0.0,0.0,1.1,0.8,98.1,0.0,579,359,89300,1127,489,644,478,2.69,92.7,0.6,90.8,84.7,92.4,23.4,15.5,4.5,55.0,47.2,24.9,8.2
"Neponset village, Illinois",51999,17,395,57188,26074,6.8,22.3,39,45.6,95.2,0.8,0.3,0.8,0.0,1.5,4.6,92.9,3.3,204,125,66600,956,458,729,146,2.71,98.0,3.8,90.4,84.9,92.6,11.1,17.9,5.3,66.9,65.3,21.7,22.0
"Newark village, Illinois",52103,17,1213,106667,41331,4.8,19.6,238,53.8,98.4,1.5,0.0,0.2,0.0,3.4,6.3,91.8,2.9,443,357,195600,1786,689,682,426,2.85,93.9,7.4,95.5,90.6,93.0,25.9,5.2,3.5,66.7,62.5,28.9,9.9
"New Athens village, Illinois",52116,17,1883,72056,32276,6.0,22.7,376,50.4,99.3,0.5,0.0,0.4,0.0,0.2,0.3,98.8,0.0,831,651,110300,1204,560,656,755,2.44,88.9,0.3,89.4,83.7,91.7,18.8,15.8,5.3,64.9,59.5,35.1,8.2
"New Baden village, Illinois",52142,17,3418,79662,40136,6.2,23.4,312,51.8,92.4,6.9,9.6,0.6,0.0,9.7,9.8,82.1,5.1,1418,915,154900,1500,437,1084,1418,2.38,91.6,12.6,95.1,83.2,93.3,24.3,14.5,13.7,71.2,61.6,26.8,3.4
"New Berlin village, Illinois",52168,17,1256,72500,34513,6.0,29.5,185,55.6,100.0,0.2,0.4,0.0,0.0,0.6,0.2,99.2,1.2,543,428,137000,1313,555,587,512,2.45,91.4,1.8,92.8,89.8,93.5,42.1,5.9,3.1,73.1,68.7,26.6,7.2
"New Boston city, Illinois",52220,17,608,40125,24243,4.8,21.1,77,55.6,99.0,0.0,1.0,1.8,0.0,1.8,0.0,97.2,1.0,307,195,78400,1039,328,442,267,2.28,96.9,1.0,92.5,88.8,85.5,7.5,6.5,3.3,60.2,62.7,43.2,18.9
"New Canton town, Illinois",52311,17,258,31094,17409,11.2,24.4,41,51.6,98.1,0.0,1.2,1.6,0.0,0.8,2.7,94.6,0.8,135,69,63200,800,321,514,105,2.46,96.5,1.3,82.9,63.8,73.0,1.8,31.2,5.4,57.9,49.5,30.7,26.4
"New Douglas village, Illinois",52415,17,344,45438,27432,4.1,16.9,58,48.8,95.9,1.5,0.3,0.0,0.0,1.5,4.1,94.2,1.5,158,130,83100,1155,438,650,147,2.34,95.9,4.2,91.8,78.9,93.6,8.3,15.8,10.2,61.6,58.9,33.7,21.5
"New Grand Chain village, Illinois",52467,17,150,26806,23448,6.7,20.0,48,50.0,88.7,8.7,0.0,9.3,0.0,9.3,5.3,78.0,4.0,92,54,35000,840,192,488,71,2.11,82.7,2.9,50.7,46.5,87.0,11.1,16.7,2.7,47.5,44.3,33.2,14.4
"New Haven village, Illinois",52506,17,406,32188,18472,1.5,11.3,80,57.9,99.5,0.0,4.2,0.0,0.0,4.2,1.0,95.3,0.0,207,117,36500,911,240,429,150,2.71,82.0,0.0,74.7,68.0,77.8,6.7,18.2,7.9,59.9,63.7,44.7,24.9
"New Holland village, Illinois",52545,17,257,75000,32544,5.8,25.3,34,52.5,100.0,0.0,1.6,0.8,0.0,2.3,0.0,97.7,0.8,121,83,78600,838,486,650,100,2.57,94.0,1.2,94.0,81.0,95.0,18.2,9.5,3.1,73.4,77.1,21.5,3.9
"New Lenox village, Illinois",52584,17,26942,118817,45362,8.8,29.1,2909,48.8,97.9,1.4,0.5,1.2,0.0,4.1,4.6,91.3,2.2,9361,8210,316200,2339,952,1195,9007,2.98,93.9,3.2,97.6,95.5,98.0,44.5,4.8,2.3,72.6,66.3,34.1,2.5
"Newman city, Illinois",52623,17,756,65429,29510,4.9,14.9,309,52.4,96.8,1.6,1.5,0.0,0.0,1.1,2.4,94.6,2.8,469,320,92200,860,498,696,346,2.06,94.3,3.2,91.6,91.0,94.4,18.0,13.2,2.1,40.0,37.4,28.3,5.8
"Newton city, Illinois",52844,17,2979,50614,26090,6.1,18.9,634,49.1,98.9,0.6,0.7,0.0,0.0,0.9,0.2,98.2,2.2,1411,919,81700,864,441,647,1323,2.20,85.5,3.8,89.6,87.5,90.6,18.4,24.1,13.7,62.0,56.7,20.6,16.4
"Niantic village, Illinois",52961,17,759,59219,23501,18.3,37.2,108,43.0,99.6,7.2,0.8,0.0,0.0,20.4,12.8,79.2,2.6,278,198,87200,1049,472,607,228,3.33,90.4,6.8,96.1,88.2,91.5,9.7,5.1,0.8,70.1,62.9,25.4,3.6
"Niles village, Illinois",53000,17,30971,69081,35908,4.7,18.1,7867,51.3,75.4,3.1,1.0,19.2,0.5,5.8,12.5,65.2,41.0,12269,8904,302800,2080,761,1148,11669,2.55,92.7,56.4,85.1,81.8,88.8,37.6,7.4,9.4,59.0,51.5,29.1,7.9
"Nilwood town, Illinois",53039,17,153,42361,25364,0.0,5.9,57,56.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,111,64,54000,1010,348,775,73,2.10,95.4,0.0,71.2,71.2,75.7,6.6,29.9,1.3,42.4,46.4,22.3,7.2
"Noble village, Illinois",53143,17,605,43958,23783,4.1,16.2,126,49.3,99.5,2.0,1.2,0.0,0.0,2.6,0.0,96.9,0.0,322,206,53200,815,301,529,277,2.18,86.7,2.8,84.5,72.2,88.4,10.1,24.4,11.4,53.2,51.0,19.3,10.7
"Nokomis city, Illinois",53169,17,2252,55536,31843,4.4,25.0,390,52.6,98.4,0.1,0.6,1.5,0.0,0.6,0.3,97.7,1.8,1020,687,69700,931,415,714,915,2.40,94.6,3.2,87.3,83.3,84.9,13.4,13.5,3.8,64.8,66.8,20.8,10.0
"Nora village, Illinois",53195,17,205,46800,24457,2.0,20.0,28,34.6,98.0,0.0,4.4,0.0,0.0,4.4,0.5,93.2,0.0,98,54,84400,975,400,1102,80,2.56,75.6,6.5,88.8,83.8,89.4,18.6,11.8,4.9,68.1,73.7,14.0,3.9
"Normal town, Illinois",53234,17,53446,58564,31516,4.4,17.0,5867,52.7,83.4,13.0,0.4,4.4,0.1,3.4,6.3,76.1,6.3,22139,10984,172400,1556,649,858,19841,2.38,77.9,7.8,96.1,80.8,97.4,52.3,5.3,3.8,61.2,59.2,16.7,25.6
